key;text
0;@Doprimido2 @profpaulamarisa Very exempt. Miriam LeitÃ£o's son inherited his mother's hatred for Bolsonaro.
1;@gegeiz namoral just missing someone to post the piconaro picudo in the fleets
3;@gifagndes @gabrielafja__ @Georgia25061 @liviatrevizann @louizaa11 I just wanted Bolsonaro to kiss my body
4;@bernardokuster2 Jair Bolsonaro's victory in the 1st round!ðŸ‡§ðŸ‡·ðŸ‘‡ 
5;@MiriamTaokei100 @rosana_dena I follow everyone who follows me and who has BOLSONARO ðŸ”„
6;Supporters of Bolsonaro walk along Avenida Boa Viagem, in Recife, in an act by the printed vote
7;Bolsonaro Sherequinha
8;@JanainaDoBrasil @TadeuFerreiraG3 But you are already 100% subservient to Bolsonaro...
9;@daviazvdo_ @oldkingcool @Iryselly @Luanrodolfo12 @Marcelo59427703 @MEC_Comunicacao anyone is better than lula or bolsonaro
10;@extra newspaper without mask mimimi...Bolsonaro...mimimi...
11;@JuniorB99771517 @EderMauroPA Thanks to Bolsonaro??? Spare me, because he was taking chloroquine and ozone in the r@bo. Kk
12;@LaerteCoutinho1 Bolsonaro will put 100 years of secrecy on the investigation???
14;The fear of the communists is gigantic ðŸ˜¨ globolixo shows nothing of our myth president BolsonaroðŸ‡§ðŸ‡·â€¦ 
15;@gifagndes Do you find it funny? Bolsonaro saved you
16;Bolsonaro must kill not just one but several lions a day... 
17;Bolsonaro damn you pay me!!! Damned 
18;@jkvarela 1st round I voted Alckmin, 2nd round was null.For the Government of SP I voted for Skaf in the 1st round and for Doria in the 2nd....
19; this is all the bolsonaro's fault